"","Method","Mean_Estimate","Mean_Truth","SD_Truth","Bias","Variance","MSE","Coverage_Oracle","Coverage_IC","Coverage_Normal","Coverage_Percentile","Mean_SE_IC","Mean_SE_Boot","Empirical_SE","SE_Ratio_IC_Emp","SE_Ratio_Boot_Emp","CI_Width_Oracle","CI_Width_IC","CI_Width_Normal","CI_Width_Percentile","Width_Ratio_IC_Oracle","Width_Ratio_Normal_Oracle","Width_Ratio_Percentile_Oracle","N_Valid"
"simple_alpha_0.6","simple_alpha_0.6",8.43948661466252,8.49114404923885,0.0806620244450715,-0.0516574345763315,0.0699249467249481,0.0646168014547263,0.96,0.92,0.99,0.98,0.231657025853445,0.279919033933087,0.264433255709164,0.876051029331318,1.05856214333705,1.03657836237992,0.908095541345503,1.0972826130177,1.07816511745815,0.876051029331318,1.05856214333705,1.04011925830937,100
"simple_alpha_1","simple_alpha_1",8.33047719335494,8.37000541631323,0.0101024382194344,-0.0395282229582969,0.0517524421792686,0.0532637318955592,0.96,0.91,0.96,0.96,0.199933590545134,0.230057315426063,0.227491631009294,0.878861299899714,1.01127814858677,0.89176719355643,0.783739674936925,0.901824676470169,0.881951282676442,0.878861299899714,1.01127814858677,0.988992742779826,100
"mm_alpha_0","mm_alpha_0",12.3419369443423,15.1602509379087,0.00558460349029457,-2.81831399356638,0.627626435144057,8.56271610092178,0.04,0,0.06,0.02,0.0100448017410093,0.509282523915735,0.792228777023441,0.0126791679781559,0.64284779685637,3.10553680593189,0.0393756228247561,1.99638749374968,1.75164397883879,0.0126791679781559,0.64284779685637,0.56403903360378,100
"mm_alpha_0.005","mm_alpha_0.005",11.7817259071102,12.3467657329021,0.210385337695094,-0.565039825791896,1.11938530205208,1.38830651725444,0.95,0.08,0.64,0.48,0.16176010297232,0.667199375649776,1.05801006708447,0.152890892066914,0.630617227951678,4.14739946297111,0.634099603651495,2.61542155254712,2.33840044243053,0.152890892066914,0.630617227951678,0.563823297781724,100
"mm_alpha_0.01","mm_alpha_0.01",11.3234940873824,11.5291144221189,0.313871151761239,-0.2056203347365,1.6090824535689,1.51264721065287,0.93,0.27,0.86,0.85,0.301298285549686,0.817086929830438,1.26849613857075,0.23752400688359,0.644138287051527,4.97250486319733,1.18108927935477,3.20298076493531,2.93419983511449,0.23752400688359,0.644138287051526,0.59008485981204,100
"mm_alpha_0.02","mm_alpha_0.02",11.3300587811138,11.3196562051919,0.0862536575452067,0.0104025759218848,1.14396041242935,1.11830912425956,0.95,0.62,0.92,0.96,0.574845608555234,0.871649076671679,1.06956085026956,0.537459470782194,0.814959781345769,4.19267853305669,2.25339478553652,3.41686438055298,3.08096549105366,0.537459470782194,0.814959781345769,0.734844197274402,100
"mm_alpha_0.0359808364757143","mm_alpha_0.0359808364757143",11.1952236700772,11.1020519622271,0.244656341427624,0.0931717078501378,0.714941380149441,0.635994887696183,0.97,0.63,0.97,0.96,0.45360019659437,0.757069801826627,0.845542062909611,0.53646082967591,0.895366221310693,3.31452488660568,1.77811277064993,2.96771362316038,2.7730349033379,0.536460829675909,0.895366221310694,0.836631190957115,100
"mm_alpha_0.05","mm_alpha_0.05",10.7769115638673,10.68909361456,0.151301694053538,0.0878179493072991,0.669675713600688,0.652624339050833,0.95,0.7,0.98,0.99,0.497801351682307,0.764894700248337,0.818337163766065,0.608308376698155,0.934693832952935,3.20788168196298,1.95138129859464,2.99838722497348,2.91452916728866,0.608308376698155,0.934693832952935,0.908552576510612,100
"mm_alpha_0.1","mm_alpha_0.1",9.86027634511837,9.84753664504525,0.167340922223026,0.0127397000731144,0.365546963868533,0.349762661852564,0.98,0.9,0.99,0.97,0.515477892194414,0.668247469948153,0.604604799739907,0.85258650347494,1.10526325665232,2.37005081498044,2.0206733374021,2.61953008219676,2.56582766297077,0.852586503474941,1.10526325665232,1.08260449385848,100
"mm_alpha_0.2","mm_alpha_0.2",9.1367803665937,9.1659061054764,0.0696426980058371,-0.0291257388827022,0.181567355524564,0.176596221502093,0.93,0.91,0.96,0.99,0.39462736513344,0.478544022130182,0.426107211303169,0.926122240284425,1.12306013471737,1.67034026830842,1.54693927132308,1.87589256675031,1.83088477727697,0.926122240284425,1.12306013471737,1.09611485277256,100
"mm_alpha_0.4","mm_alpha_0.4",8.78153510043834,8.85748440276144,0.15975572534564,-0.0759493023231021,0.128217469913956,0.0993705444567666,0.98,0.94,0.99,0.99,0.291494641020462,0.376490254587393,0.358074670863433,0.814061045752202,1.05142945095657,1.40365270978466,1.14265899280021,1.47584179798258,1.4491302301859,0.814061045752202,1.05142945095657,1.03239941054096,100
"mm_alpha_0.6","mm_alpha_0.6",8.54722968003079,8.60286936135656,0.0273906997369921,-0.0556396813257689,0.0731539577857556,0.0745146001879955,0.95,0.91,0.98,0.98,0.251787531382319,0.305488262222477,0.270469883324846,0.930926313448038,1.12947237772707,1.0602419426334,0.987007123018692,1.19751398791211,1.18110299844362,0.930926313448038,1.12947237772707,1.11399384513126,100
"mm_alpha_1","mm_alpha_1",8.32701613590803,8.36998038886218,0.00916355909622641,-0.0429642529541498,0.0513467348405718,0.0527816136961574,0.94,0.91,0.97,0.94,0.200021133176284,0.229937732256665,0.226598179252552,0.882712887791355,1.01473777510097,0.888264862670005,0.784082842051033,0.901355910446127,0.879992659229455,0.882712887791356,1.01473777510097,0.990687233292461,100
